""	""	""	""	""	"EC numbers"	"Names of metabolites"	"Log2 ratio"	"p-value"	"SD test"	"SD ref"	"TF binding sites"	"Sigma sites"	"Is mapped to ortholog"	"Max ratio"	"genename1"	"annotation1"	"direction1"	"nonsynonymous1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"genename2"	"annotation2"	"direction2"	"nonsynonymous2"
"18403"	"0"	"22"	"2"	"0"	"2.4.2.2,2.4.2.4"	"phosphoric acid , phosphoric acid"	"0.688589475140754 , 0.688589475140754"	"0.218766561334181 , 0.218766561334181"	"0.0166613353448738 , 0.0166613353448738"	"0.0101369418270666 , 0.0101369418270666"	" CRP CRP CytR DeoR Fis ModE"	" Sigma70"	"3476568"	"0.688589475140754 "	"deoA"	"Thymidine phosphorylase"	"reactant"	"S 409 -> N 409 ,  D 412 -> E 412"	"3476568"	"0"	"22"	"2"	"0"	""	""	""	""	""	""	" CRP CRP CytR DeoR Fis ModE"	" Sigma70"	"18403"	""	"deoA"	"Thymidine phosphorylase"	"0"	"N 409 -> S 409 ,  E 412 -> D 412"
"14524"	"0"	"2"	"0"	"0"	"1.5.1.2"	"proline"	"-0.27500284262392"	"0.807992051812519"	"0.0215615278884641"	"0.0181592886439549"	""	""	"3472406"	"-0.27500284262392"	"proC"	"Pyrroline-5-carboxylate reductase"	"reactant"	"0"	"3472406"	"0"	"2"	"0"	"0"	""	""	""	""	""	""	""	""	"14524"	""	"proC"	"Pyrroline-5-carboxylate reductase"	"0"	"0"
"15138"	"0"	"75"	"5"	"0"	"1.5.99.8"	"proline"	"-0.27500284262392"	"0.807992051812519"	"0.0215615278884641"	"0.0181592886439549"	" BasR MarA PutA"	" Sigma70"	"3473077"	"-0.27500284262392"	"putA"	"Delta 1-pyrroline-5-carboxylate dehydrogenase"	"reactant"	"V 966 -> A 966 ,  I 903 -> V 903 ,  Q 834 -> R 834 ,  V 704 -> A 704 ,  F 675 -> Y 675"	"3473077"	"0"	"75"	"5"	"0"	""	""	""	""	""	""	" BasR MarA PutA"	" Sigma70"	"15138"	""	"putA"	"Delta 1-pyrroline-5-carboxylate dehydrogenase"	"0"	"A 966 -> V 966 ,  V 903 -> I 903 ,  R 834 -> Q 834 ,  A 704 -> V 704 ,  Y 675 -> F 675"
"1937180"	"0"	"19"	"0"	"0"	"5.3.1.14"	"rhamnose 1"	"0.360535579342433"	"0.409413806079573"	"0.00106904493698293"	"0.00169926823306305"	" CRP RhaS"	" Sigma70"	"3476084"	"0.360535579342433"	"rhaA"	"L-rhamnose isomerase"	"reactant"	"0"	"3476084"	"0"	"19"	"0"	"0"	""	""	""	""	""	""	" CRP RhaS"	" Sigma70"	"1937180"	""	"rhaA"	"L-rhamnose isomerase"	"0"	"0"
"18182"	"0"	"12"	"1"	"0"	"1.3.1.6,1.3.99.1"	"succinic acid , succinic acid"	"0.755523820441955 , 0.755523820441955"	"0.449215044053545 , 0.449215044053545"	"0.00378396524930842 , 0.00378396524930842"	"0.00245608974381594 , 0.00245608974381594"	" DcuR FNR NarL"	" Sigma38,Sigma70"	"3476350"	"0.755523820441955 "	"frdA"	"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit"	"reactant"	"E 59 -> D 59"	"3476350"	"0"	"12"	"1"	"0"	""	""	""	""	""	""	" DcuR FNR NarL"	" Sigma38,Sigma70"	"18182"	""	"frdA"	"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit"	"0"	"D 59 -> E 59"
"14149"	"0"	"13"	"0"	"0"	"4.2.3.1"	"threonine"	"1.14914738741664"	"0.435472614953004"	"0.0329947877500528"	"0.0139330484409913"	""	" Sigma70"	"3471957"	"1.14914738741664"	"thrC"	"Threonine synthase"	"product"	"0"	"3471957"	"0"	"13"	"0"	"0"	""	""	""	""	""	""	""	" Sigma70"	"14149"	""	"thrC"	"Threonine synthase"	"0"	"0"
"17677"	"0"	"26"	"1"	"0"	"1.1.1.103"	"threonine"	"1.14914738741664"	"0.435472614953004"	"0.0329947877500528"	"0.0139330484409913"	" Lrp"	" Sigma70"	"3475783"	"1.14914738741664"	"tdh"	"Threonine dehydrogenase and related Zn-dependent dehydrogenases"	"reactant"	"S 145 -> A 145"	"3475783"	"0"	"26"	"1"	"0"	""	""	""	""	""	""	" Lrp"	" Sigma70"	"17677"	""	"tdh"	"Threonine dehydrogenase and related Zn-dependent dehydrogenases"	"0"	"A 145 -> S 145"
"14475"	"0"	"8"	"1"	"0"	"3.5.4.1"	"thymine"	"1.04563736973463"	"0.38483432140318"	"0.0288530413870197"	"0.0079053695021144"	" Nac PurR"	" Sigma70"	"3472355"	"1.04563736973463"	"codA"	"Cytosine deaminase and related metal-dependent hydrolases"	"product"	"R 236 -> H 236"	"3472355"	"0"	"8"	"1"	"0"	""	""	""	""	""	""	" Nac PurR"	" Sigma70"	"14475"	""	"codA"	"Cytosine deaminase and related metal-dependent hydrolases"	"0"	"H 236 -> R 236"
"14377"	"0"	"3"	"0"	"0"	"2.4.2.22"	"xanthine"	"0.188267231709543"	"0.87354379315821"	"0.0574043596791483"	"0.0554484957635158"	""	" Sigma70"	"3472218"	"0.188267231709543"	"gpt"	"Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins"	"product"	"0"	"3472218"	"0"	"3"	"0"	"0"	""	""	""	""	""	""	""	" Sigma70"	"14377"	""	"gpt"	"Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins"	"0"	"0"
"16946"	"0"	"0"	"1"	"0"	"1.17.1.4"	"xanthine"	"0.188267231709543"	"0.87354379315821"	"0.0574043596791483"	"0.0554484957635158"	" FNR"	" Sigma54"	"3474974"	"0.188267231709543"	"xdhA"	"Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs"	"product"	"I 318 -> T 305"	"3474974"	"0"	"0"	"1"	"0"	""	""	""	""	""	""	" FNR"	" Sigma54"	"16946"	""	"xdhA"	"Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs"	"0"	"T 305 -> I 318"
"16963"	"0"	"5"	"1"	"0"	"3.5.4.3"	"xanthine"	"0.188267231709543"	"0.87354379315821"	"0.0574043596791483"	"0.0554484957635158"	""	" Sigma70"	"3474991"	"0.188267231709543"	"guaD"	"Cytosine deaminase and related metal-dependent hydrolases"	"product"	"D 350 -> G 351"	"3474991"	"0"	"5"	"1"	"0"	""	""	""	""	""	""	""	" Sigma70"	"16963"	""	"guaD"	"Cytosine deaminase and related metal-dependent hydrolases"	"0"	"G 351 -> D 350"
