locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
3472756	YP_001457545.1	157160227	57075	811424	810483	-	EcHS_A0806	zitB	zinc transporter ZitB (RefSeq)	COG1230	P	Co/Zn/Cd efflux system component	TIGR01297 cation diffusion facilitator family transporter	Transport and binding proteins:Cations and iron carrying compounds	GO:0006812,GO:0016020,GO:0005576,GO:0008324,GO:0005179		
3472757	YP_001457546.1	157160228	57075	811918	811538	-	EcHS_A0807	EcHS_A0807	hypothetical protein (RefSeq)						GO:0006508,GO:0004190		
3472758	YP_001457547.1	157160229	57075	812234	813286	+	EcHS_A0808	aroG	3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive (RefSeq)	COG722	E	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase	TIGR00034 3-deoxy-7-phosphoheptulonate synthase	Amino acid biosynthesis:Aromatic amino acid family	GO:0009073,GO:0003849	2.5.1.54	3-deoxy-7-phosphoheptulonate synthase.
3472759	YP_001457548.1	157160230	57075	814196	813444	-	EcHS_A0809	gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (RefSeq)	COG588	G	Phosphoglycerate mutase 1	TIGR01258 phosphoglycerate mutase 1 family		GO:0006096,GO:0046537,GO:0046538,GO:0016868	5.4.2.1	Phosphoglycerate mutase.
3472760	YP_001457549.1	157160231	57075	815439	814399	-	EcHS_A0810	galM	galactose mutarotase (RefSeq)	COG2017	G	Galactose mutarotase and related enzymes	TIGR02636 galactose mutarotase [galM]		GO:0006012,GO:0030246,GO:0004034	5.1.3.-,5.1.3.3	,Aldose 1-epimerase.
3472761	YP_001457550.1	157160232	57075	816581	815433	-	EcHS_A0811	galK	galactokinase (RefSeq)	COG153	G	Galactokinase	TIGR00131 galactokinase [galK]	Energy metabolism:Sugars	GO:0046835,GO:0006012,GO:0005737,GO:0005524,GO:0004335	2.7.1.6	Galactokinase.
3472762	YP_001457551.1	157160233	57075	817631	816585	-	EcHS_A0812	galT	galactose-1-phosphate uridylyltransferase (RefSeq)	COG1085	C	Galactose-1-phosphate uridylyltransferase	TIGR00209 galactose-1-phosphate uridylyltransferase [galT]	Energy metabolism:Sugars	GO:0006012,GO:0008108,GO:0017103	2.7.7.10,2.7.7.12	UTP--hexose-1-phosphate uridylyltransferase.,UDP-glucose--hexose-1-phosphate uridylyltransferase.
3472763	YP_001457552.1	157160234	57075	818657	817641	-	EcHS_A0813	galE	UDP-glucose 4-epimerase (RefSeq)	COG1087	M	UDP-glucose 4-epimerase	TIGR01179 UDP-glucose 4-epimerase [galE]	Energy metabolism:Sugars	GO:0006012,GO:0045226,GO:0008831,GO:0003978,GO:0050662	5.1.3.2	UDP-glucose 4-epimerase.
3472764	YP_001457553.1	157160235	57075	820391	818919	-	EcHS_A0814	modF	ABC transporter, ATP-binding protein (RefSeq)	COG488	R	ATPase components of ABC transporters with duplicated ATPase domains			GO:0005524,GO:0016887		
3472765	YP_001457554.1	157160236	57075	821247	820459	-	EcHS_A0815	modE	transcriptional regulator ModE (RefSeq)	COG2005	R	N-terminal domain of molybdenum-binding protein	TIGR00637 ModE molybdate transport repressor domain,TIGR00638 molybdenum-pterin binding domain	Regulatory functions:Other	GO:0015689,GO:0006355,GO:0043190,GO:0005524,GO:0030151,GO:0015412,GO:0003700		
3472766	YP_001457555.1	157160237	57075	821376	821525	+	EcHS_A0816	EcHS_A0816	hypothetical protein (RefSeq)								
3472767	YP_001457556.1	157160238	57075	821692	822465	+	EcHS_A0817	modA	molybdate ABC transporter, periplasmic molybdate-binding protein (RefSeq)	COG725	P	ABC-type molybdate transport system, periplasmic component	TIGR01256 molybdate ABC transporter, periplasmic molybdate-binding protein [modA]	Transport and binding proteins:Anions	GO:0015689,GO:0030288,GO:0015412		
3472768	YP_001457557.1	157160239	57075	822465	823154	+	EcHS_A0818	modB	molybdate ABC transporter, permease protein (RefSeq)	COG4149	P	ABC-type molybdate transport system, permease component	TIGR02141 molybdate ABC transporter, permease protein [modB]	Transport and binding proteins:Anions	GO:0015689,GO:0016021,GO:0015098		
3472769	YP_001457558.1	157160240	57075	823157	824215	+	EcHS_A0819	modC	molybdate ABC transporter, ATP-binding protein (RefSeq)	COG4148	P	ABC-type molybdate transport system, ATPase component	TIGR00638 molybdenum-pterin binding domain,TIGR02142 molybdate ABC transporter, ATP-binding protein [modC]	Transport and binding proteins:Anions	GO:0015689,GO:0043190,GO:0009276,GO:0005524,GO:0030151,GO:0015412	3.6.3.29	Molybdate-transporting ATPase.
3472770	YP_001457559.1	157160241	57075	825034	824216	-	EcHS_A0820	ybhA	phosphatase YbhA (RefSeq)	COG561	R	Predicted hydrolases of the HAD superfamily	TIGR00099 Cof-like hydrolase,TIGR01484 HAD hydrolase, family IIB	Unknown function:Enzymes of unknown specificity	GO:0008152,GO:0016787,GO:0042132	3.1.3.11	Fructose-bisphosphatase.
3472771	YP_001457560.1	157160242	57075	825189	826184	+	EcHS_A0821	pgl	6-phosphogluconolactonase (RefSeq)	COG2706	G	3-carboxymuconate cyclase			GO:0017057	3.1.1.31	6-phosphogluconolactonase.
3472772	YP_001457561.1	157160243	57075	827178	826225	-	EcHS_A0822	EcHS_A0822	transcriptional regulator, LysR family (RefSeq)	COG583	K	Transcriptional regulator			GO:0006355,GO:0005622,GO:0003700		
3472773	YP_001457562.1	157160244	57075	827362	828414	+	EcHS_A0823	EcHS_A0823	hypothetical protein (RefSeq)	COG2828	S	Uncharacterized protein conserved in bacteria					
3472774	YP_001457563.1	157160245	57075	828490	829923	+	EcHS_A0824	EcHS_A0824	anion transporter (RefSeq)	COG471	P	Di- and tricarboxylate transporters	TIGR00785 transporter, divalent anion:Na+ symporter (DASS) family	Transport and binding proteins:Cations and iron carrying compounds	GO:0006814,GO:0016020,GO:0005215		
3472775	YP_001457564.1	157160246	57075	830082	832367	+	EcHS_A0825	EcHS_A0825	aconitase family protein (RefSeq)	COG1048	C	Aconitase A			GO:0008152,GO:0003994	4.2.1.3	Aconitate hydratase.
3472776	YP_001457565.1	157160247	57075	833884	832601	-	EcHS_A0826	EcHS_A0826	pectinesterase (RefSeq)	COG4677	G	Pectin methylesterase			GO:0042545,GO:0005618,GO:0030599	3.1.1.11	Pectinesterase.
3472777	YP_001457566.1	157160248	57075	834512	834036	-	EcHS_A0827	EcHS_A0827	phosphatidylethanolamine-binding protein (RefSeq)	COG1881	R	Phospholipid-binding protein	TIGR00481 Raf kinase inhibitor-like protein, YbhB/YbcL family	Unknown function:General			
3472778	YP_001457567.1	157160249	57075	835860	834571	-	EcHS_A0829	bioA	adenosylmethionine-8-amino-7-oxononanoate transaminase (RefSeq)	COG161	H	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	TIGR00508 adenosylmethionine-8-amino-7-oxononanoate transaminase [bioA]	Biosynthesis of cofactors, prosthetic groups, and carriers:Biotin	GO:0009102,GO:0004015,GO:0030170	2.6.1.62	Adenosylmethionine--8-amino-7-oxononanoate transaminase.
3472779	YP_001457568.1	157160250	57075	835947	836987	+	EcHS_A0828	bioB	biotin synthase (RefSeq)	COG502	H	Biotin synthase and related enzymes	TIGR00433 biotin synthase [bioB]	Biosynthesis of cofactors, prosthetic groups, and carriers:Biotin	GO:0009102,GO:0051536,GO:0004076	2.8.1.6	Biotin synthase.
3472780	YP_001457569.1	157160251	57075	836984	838138	+	EcHS_A0830	bioF	8-amino-7-oxononanoate synthase (RefSeq)	COG156	H	7-keto-8-aminopelargonate synthetase and related enzymes	TIGR00858 8-amino-7-oxononanoate synthase [bioF]	Biosynthesis of cofactors, prosthetic groups, and carriers:Biotin	GO:0009102,GO:0008710,GO:0016769,GO:0030170	2.3.1.47	8-amino-7-oxononanoate synthase.
3472781	YP_001457570.1	157160252	57075	838125	838880	+	EcHS_A0831	bioC	biotin biosynthesis protein BioC (RefSeq)	COG2226	H	Methylase involved in ubiquinone/menaquinone biosynthesis	TIGR02072 biotin biosynthesis protein BioC [bioC]	Biosynthesis of cofactors, prosthetic groups, and carriers:Biotin	GO:0009102,GO:0008168		
3472782	YP_001457571.1	157160253	57075	838873	839550	+	EcHS_A0832	bioD1	dethiobiotin synthase (RefSeq)	COG132	H	Dethiobiotin synthetase	TIGR00347 dethiobiotin synthase [bioD]	Biosynthesis of cofactors, prosthetic groups, and carriers:Biotin	GO:0009236,GO:0009102,GO:0005524,GO:0042242,GO:0004141	6.3.3.3	Dethiobiotin synthase.
3472783	YP_001457572.1	157160254	57075	840129	842150	+	EcHS_A0833	uvrB	excinuclease ABC, B subunit (RefSeq)	COG556	L	Helicase subunit of the DNA excision repair complex	TIGR00631 excinuclease ABC subunit B [uvrB]	DNA metabolism:DNA replication, recombination, and repair	GO:0006289,GO:0009380,GO:0005737,GO:0005524,GO:0009381,GO:0004386,GO:0003677	3.1.25.-	
3472784	YP_001457573.1	157160255	57075	843250	842342	-	EcHS_A0834	EcHS_A0834	hypothetical protein (RefSeq)	COG391	S	Uncharacterized conserved protein	TIGR01826 conserved hypothetical protein	Hypothetical proteins:Conserved			
3472785	YP_001457574.1	157160256	57075	843647	844636	+	EcHS_A0835	moaA	molybdenum cofactor biosynthesis protein A (RefSeq)	COG2896	H	Molybdenum cofactor biosynthesis enzyme	TIGR02666 molybdenum cofactor biosynthesis protein A [moaA]	Biosynthesis of cofactors, prosthetic groups, and carriers:Molybdopterin	GO:0006777,GO:0019008,GO:0046872,GO:0003824,GO:0051539		
3472786	YP_001457575.1	157160257	57075	844658	845170	+	EcHS_A0836	moaB	molybdenum cofactor biosynthesis protein B (RefSeq)	COG521	H	Molybdopterin biosynthesis enzymes	TIGR00177 molybdenum cofactor synthesis domain,TIGR02667 molybdenum cofactor biosynthesis protein B [moaB]	Biosynthesis of cofactors, prosthetic groups, and carriers:Molybdopterin	GO:0006777		
3472787	YP_001457576.1	157160258	57075	845173	845658	+	EcHS_A0837	moaC	molybdenum cofactor biosynthesis protein C (RefSeq)	COG315	H	Molybdenum cofactor biosynthesis enzyme	TIGR00581 molybdenum cofactor biosynthesis protein C [moaC]	Biosynthesis of cofactors, prosthetic groups, and carriers:Molybdopterin	GO:0006777		
3472788	YP_001457577.1	157160259	57075	845651	845896	+	EcHS_A0838	moaD	molybdopterin converting factor, subunit 1 (RefSeq)	COG1977	H	Molybdopterin converting factor, small subunit	TIGR01682 molybdopterin converting factor, subunit 1 [moaD]	Biosynthesis of cofactors, prosthetic groups, and carriers:Molybdopterin	GO:0006777,GO:0006790		
3472789	YP_001457578.1	157160260	57075	845898	846350	+	EcHS_A0839	moaE	molybdopterin converting factor, subunit 2 (RefSeq)	COG314	H	Molybdopterin converting factor, large subunit			GO:0006777		
3472790	YP_001457579.1	157160261	57075	846487	847191	+	EcHS_A0840	EcHS_A0840	hypothetical protein (RefSeq)	COG670	R	Integral membrane protein, interacts with FtsH					
3472791	YP_001457580.1	157160262	57075	847397	848110	+	EcHS_A0841	EcHS_A0841	hypothetical protein (RefSeq)	COG670	R	Integral membrane protein, interacts with FtsH					
3472792	YP_001457581.1	157160263	57075	849102	848146	-	EcHS_A0842	EcHS_A0842	hypothetical protein (RefSeq)	COG392	S	Predicted integral membrane protein					
3472793	YP_001457582.1	157160264	57075	850343	849102	-	EcHS_A0843	EcHS_A0843	putative cardiolipin synthetase (RefSeq)	COG1502	I	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes			GO:0008152,GO:0003824	2.7.8.-	
3472794	YP_001457583.1	157160265	57075	851101	850340	-	EcHS_A0844	EcHS_A0844	endonuclease/exonuclease/phosphatase family protein (RefSeq)	COG3568	R	Metal-dependent hydrolase					
3472795	YP_001457584.1	157160266	57075	851234	851644	+	EcHS_A0845	EcHS_A0845	hypothetical protein (RefSeq)								
3472796	YP_001457585.1	157160267	57075	852712	851606	-	EcHS_A0846	EcHS_A0846	ABC-2 type transporter, permease protein (RefSeq)	COG1668	CP	ABC-type Na+ efflux pump, permease component			GO:0006810,GO:0016020,GO:0005524,GO:0042626		
3472797	YP_001457586.1	157160268	57075	853856	852723	-	EcHS_A0847	EcHS_A0847	ABC-2 type transporter, permease protein (RefSeq)	COG1668	CP	ABC-type Na+ efflux pump, permease component			GO:0006810,GO:0016020,GO:0005524,GO:0042626		
3472798	YP_001457587.1	157160269	57075	855585	853849	-	EcHS_A0848	EcHS_A0848	ABC transporter, ATP-binding protein (RefSeq)	COG1123	R	ATPase components of various ABC-type transport systems, contain duplicated ATPase			GO:0005524,GO:0016887		
3472799	YP_001457588.1	157160270	57075	856573	855578	-	EcHS_A0849	EcHS_A0849	transporter auxiliary protein, membrane fusion protein (MFP) family (RefSeq)	COG1566	V	Multidrug resistance efflux pump			GO:0009306,GO:0016020,GO:0008565		
3472800	YP_001457589.1	157160271	57075	857247	856576	-	EcHS_A0850	EcHS_A0850	transcriptional regulator, TetR family (RefSeq)	COG1309	K	Transcriptional regulator			GO:0006355,GO:0016481,GO:0003700,GO:0016566		
3472801	YP_001457590.1	157160272	57075	857476	858840	+	EcHS_A0851	EcHS_A0851	putative ATP-dependent RNA helicase RhlE (RefSeq)	COG513	LKJ	Superfamily II DNA and RNA helicases			GO:0003676,GO:0005524,GO:0008026	3.6.1.-	
3472802	YP_001457591.1	157160273	57075	859006	858845	-	EcHS_A0852	EcHS_A0852	hypothetical protein (RefSeq)								
3472803	YP_001457592.1	157160274	57075	859554	859072	-	EcHS_A0854	EcHS_A0854	hypothetical protein (RefSeq)	COG3236	S	Uncharacterized protein conserved in bacteria	TIGR02464 conserved hypothetical protein				
3472804	YP_001457593.1	157160275	57075	859674	861824	+	EcHS_A0853	EcHS_A0853	putative ATP-dependent helicase DinG (RefSeq)	COG1199	KL	Rad3-related DNA helicases			GO:0006139,GO:0005634,GO:0003676,GO:0003677,GO:0004003,GO:0008026,GO:0005524	3.6.1.-	
3472805	YP_001457594.1	157160276	57075	861852	862814	+	EcHS_A0855	EcHS_A0855	glycosyl transferase family protein (RefSeq)	COG547	E	Anthranilate phosphoribosyltransferase			GO:0008152,GO:0016757		
3472806	YP_001457595.1	157160277	57075	862955	864040	+	EcHS_A0856	EcHS_A0856	malate/L-lactate dehydrogenase (RefSeq)	COG2055	C	Malate/L-lactate dehydrogenases			GO:0008152,GO:0016491	1.1.1.-	
3472807	YP_001457596.1	157160278	57075	864529	864269	-	EcHS_A0857	EcHS_A0857	hypothetical protein (RefSeq)								
3472808	YP_001457597.1	157160279	57075	865060	864794	-	EcHS_A0858	EcHS_A0858	C4-type zinc finger protein, DksA/TraR family (RefSeq)	COG1734	T	DnaK suppressor protein			GO:0008270		
3472809	YP_001457598.1	157160280	57075	865811	865134	-	EcHS_A0859	EcHS_A0859	oxidoreductase, 2OG-Fe(II) oxygenase family (RefSeq)	COG3128	S	Uncharacterized iron-regulated protein			GO:0019538,GO:0016706	1.14.11.-	
3472810	YP_001457599.1	157160281	57075	868135	865853	-	EcHS_A0860	fiu	catecholate siderophore receptor Fiu (RefSeq)	COG4774	P	Outer membrane receptor for monomeric catechols	TIGR01783 TonB-dependent siderophore receptor	Transport and binding proteins:Porins	GO:0015891,GO:0016020,GO:0004872,GO:0005506,GO:0015343		
3472811	YP_001457600.1	157160282	57075	868804	868400	-	EcHS_A0861	EcHS_A0861	hypothetical protein (RefSeq)								
3472812	YP_001457601.1	157160283	57075	868855	869862	+	EcHS_A0862	EcHS_A0862	hypothetical protein (RefSeq)	COG3129	R	Predicted SAM-dependent methyltransferase			GO:0008988	2.1.1.48	rRNA (adenine-N(6)-)-methyltransferase.
3472813	YP_001457602.1	157160284	57075	872084	869859	-	EcHS_A0863	EcHS_A0863	transporter, small conductance mechanosensitive ion channel (MscS) family (RefSeq)	COG668	M	Small-conductance mechanosensitive channel			GO:0016020		
3472814	YP_001457603.1	157160285	57075	872328	872146	-	EcHS_A0864	EcHS_A0864	hypothetical protein (RefSeq)								
3472815	YP_001457604.1	157160286	57075	873067	872345	-	EcHS_A0865	glnQ	glutamine ABC transporter, ATP-binding protein (RefSeq)	COG1126	E	ABC-type polar amino acid transport system, ATPase component			GO:0005524,GO:0016887		
3472816	YP_001457605.1	157160287	57075	873723	873064	-	EcHS_A0866	glnP	glutamine ABC transporter, permease protein (RefSeq)	COG765	E	ABC-type amino acid transport system, permease component	TIGR01726 amino ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family	Transport and binding proteins:Amino acids, peptides and amines	GO:0006810,GO:0016021,GO:0009276,GO:0005215		
3472817	YP_001457606.1	157160288	57075	874608	873862	-	EcHS_A0867	glnH	glutamine ABC transporter, glutamine-binding periplasmic protein (RefSeq)	COG834	ET	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain			GO:0006810,GO:0016020,GO:0030288,GO:0004970,GO:0005234		
3472818	YP_001457607.1	157160289	57075	875515	875012	-	EcHS_A0868	dps	DNA protection during starvation protein (RefSeq)	COG783	P	DNA-binding ferritin-like protein (oxidative damage protectant)			GO:0006879,GO:0006950,GO:0008199,GO:0016491	1.16.-.-	
3472819	YP_001457608.1	157160290	57075	875782	875684	-	EcHS_A0869	EcHS_A0869	hypothetical protein (RefSeq)								
3472820	YP_001457609.1	157160291	57075	876700	875813	-	EcHS_A0870	rhtA	threonine/homoserine efflux transporter RhtA (RefSeq)	COG5006	R	Predicted permease, DMT superfamily			GO:0016020		
3472821	YP_001457610.1	157160292	57075	877053	877568	+	EcHS_A0871	ompX	outer membrane protein X (RefSeq)	COG3637	M	Opacity protein and related surface antigens			GO:0009279,GO:0016021		
3472822	YP_001457611.1	157160293	57075	879200	877617	-	EcHS_A0872	EcHS_A0872	sulfatase family protein (RefSeq)	COG2194	R	Predicted membrane-associated, metal-dependent hydrolase			GO:0008152,GO:0008484	3.1.6.-	
3472823	YP_001457612.1	157160294	57075	879600	879472	-	EcHS_A0873	EcHS_A0873	hypothetical protein (RefSeq)								
3472824	YP_001457613.1	157160295	57075	879786	880253	+	EcHS_A0874	mntR	transcriptional regulator MntR (RefSeq)	COG1321	K	Mn-dependent transcriptional regulator			GO:0006355,GO:0005622,GO:0003700,GO:0005506		
3472825	YP_001457614.1	157160296	57075	880250	881368	+	EcHS_A0875	EcHS_A0875	citrate transporter family protein (RefSeq)	COG471	P	Di- and tricarboxylate transporters			GO:0015746,GO:0016021,GO:0015137		
3472826	YP_001457615.1	157160297	57075	882347	881427	-	EcHS_A0876	ybiS	YbiS protein (RefSeq)	COG1376	S	Uncharacterized protein conserved in bacteria					
3472827	YP_001457616.1	157160298	57075	882566	884158	+	EcHS_A0877	EcHS_A0877	ABC transporter, ATP-binding protein (RefSeq)	COG488	R	ATPase components of ABC transporters with duplicated ATPase domains			GO:0005524,GO:0016887		
3472828	YP_001457617.1	157160299	57075	884437	885417	+	EcHS_A0878	EcHS_A0878	IS621, transposase (RefSeq)	COG3547	L	Transposase and inactivated derivatives			GO:0006313,GO:0006281,GO:0004803,GO:0003677		
3472829	YP_001457618.1	157160300	57075	886943	885678	-	EcHS_A0879	EcHS_A0879	hypothetical protein (RefSeq)								
3472830	YP_001457619.1	157160301	57075	887910	887095	-	EcHS_A0880	supH	sugar phosphatase SupH (RefSeq)	COG561	R	Predicted hydrolases of the HAD superfamily	TIGR00099 Cof-like hydrolase,TIGR01484 HAD hydrolase, family IIB	Unknown function:Enzymes of unknown specificity	GO:0006810,GO:0008152,GO:0016020,GO:0005524,GO:0015662,GO:0016787,GO:0050308	3.1.3.23	Sugar-phosphatase.
3472831	YP_001457620.1	157160302	57075	890488	888056	-	EcHS_A0881	EcHS_A0881	formate C-acetyltransferas (RefSeq)	COG1882	C	Pyruvate-formate lyase	TIGR01774 pyruvate formate-lyase		GO:0006006,GO:0005737,GO:0008861	2.3.1.54	Formate C-acetyltransferase.
3472832	YP_001457621.1	157160303	57075	891393	890494	-	EcHS_A0882	EcHS_A0882	glycyl-radical enzyme activating protein family (RefSeq)	COG1180	O	Pyruvate-formate lyase-activating enzyme	TIGR02494 glycyl-radical enzyme activating protein family		GO:0006006,GO:0006800,GO:0005737,GO:0043365,GO:0016491,GO:0051539	1.97.1.-,1.97.1.4	,[Formate-C-acetyltransferase]-activating enzyme.
3472833	YP_001457622.1	157160304	57075	891524	892186	+	EcHS_A0883	fsaA	fructose-6-phosphate aldolase 1 (RefSeq)	COG176	G	Transaldolase	TIGR00875 fructose-6-phosphate aldolase [fsa]	Energy metabolism:Pentose phosphate pathway	GO:0005975,GO:0003824	4.1.2.-	
3472834	YP_001457623.1	157160305	57075	893011	892262	-	EcHS_A0884	moeB	molybdopterin synthase sulfurylase MoeB (RefSeq)	COG476	H	Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2	TIGR02355 molybdopterin synthase sulfurylase MoeB [moeB]	Biosynthesis of cofactors, prosthetic groups, and carriers:Molybdopterin	GO:0006777,GO:0003824		
3472835	YP_001457624.1	157160306	57075	894246	893011	-	EcHS_A0885	moeA	molybdopterin biosynthesis protein MoeA (RefSeq)	COG303	H	Molybdopterin biosynthesis enzyme	TIGR00177 molybdenum cofactor synthesis domain		GO:0006777		
3472836	YP_001457625.1	157160307	57075	894450	895415	+	EcHS_A0886	EcHS_A0886	L-asparaginase (RefSeq)	COG1446	E	Asparaginase			GO:0006516,GO:0008798,GO:0004067	3.4.19.5	Beta-aspartyl-peptidase.
3472837	YP_001457626.1	157160308	57075	895402	897273	+	EcHS_A0887	gsiA	glutathione ABC transporter, ATP-binding protein GsiA (RefSeq)	COG1123	R	ATPase components of various ABC-type transport systems, contain duplicated ATPase			GO:0015833,GO:0005524,GO:0016887	3.6.3.-	
3472838	YP_001457627.1	157160309	57075	897293	898831	+	EcHS_A0888	gsiB	glutathione ABC transporter, periplasmic glutathione-binding protein GsiB (RefSeq)	COG747	E	ABC-type dipeptide transport system, periplasmic component			GO:0006810,GO:0005215		
3472839	YP_001457628.1	157160310	57075	898849	899769	+	EcHS_A0889	gsiC	glutathione ABC transporter, permease protein GsiC (RefSeq)	COG601	EP	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components			GO:0006810,GO:0016020,GO:0005215		
3472840	YP_001457629.1	157160311	57075	899772	900683	+	EcHS_A0890	gsiD	glutathione ABC transporter, permease protein GsiD (RefSeq)	COG1173	EP	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components			GO:0006810,GO:0016020,GO:0005215		
3472841	YP_001457630.1	157160312	57075	900861	903209	+	EcHS_A0891	EcHS_A0891	cyclic diguanylate phosphodiesterase (EAL) domain protein (RefSeq)	COG2200	T	FOG: EAL domain					
3472842	YP_001457631.1	157160313	57075	903217	904545	+	EcHS_A0892	EcHS_A0892	diguanylate cyclase (RefSeq)	COG2199	T	FOG: GGDEF domain	TIGR00254 diguanylate cyclase (GGDEF) domain	Signal transduction:Other	GO:0009190,GO:0007242,GO:0016849		
3472843	YP_001457632.1	157160314	57075	904944	904615	-	EcHS_A0893	EcHS_A0893	helix-turn-helix DNA-binding domain protein (RefSeq)	COG2944	K	Predicted transcriptional regulator			GO:0043565		
3472844	YP_001457633.1	157160315	57075	905320	904934	-	EcHS_A0894	EcHS_A0894	hypothetical protein (RefSeq)	COG4737	S	Uncharacterized protein conserved in bacteria					
3472845	YP_001457634.1	157160316	57075	906871	905546	-	EcHS_A0895	EcHS_A0895	MiaB-like tRNA modifying enzyme YliG (RefSeq)	COG621	J	2-methylthioadenine synthetase	TIGR00089 radical SAM methylthiotransferase, MiaB/RimO family,TIGR01125 ribosomal protein S12 methylthiotransferase RimO [rimO]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0008152,GO:0003824,GO:0051536		
3472846	YP_001457635.1	157160317	57075	907051	907467	+	EcHS_A0896	bssR	biofilm regulator BssR (RefSeq)								
3472847			57075	907578	908693	+	EcHS_A0897	EcHS_A0897									
3472848	YP_001457636.1	157160318	57075	909316	908690	-	EcHS_A0899	EcHS_A0899	glutathione S-transferase family protein (RefSeq)	COG625	O	Glutathione S-transferase					
3472849	YP_001457637.1	157160319	57075	909563	910765	+	EcHS_A0900	dacC	serine-type D-Ala-D-Ala carboxypeptidase (RefSeq)	COG1686	M	D-alanyl-D-alanine carboxypeptidase			GO:0006508,GO:0009002	3.4.16.4	Serine-type D-Ala-D-Ala carboxypeptidase.
3472850	YP_001457638.1	157160320	57075	911570	910812	-	EcHS_A0901	deoR	deoxyribose operon repressor (RefSeq)	COG1349	KG	Transcriptional regulators of sugar metabolism			GO:0006355,GO:0005622,GO:0003700		
3472851	YP_001457639.1	157160321	57075	912224	911628	-	EcHS_A0902	EcHS_A0902	PAP2 family protein (RefSeq)						GO:0016020,GO:0050380,GO:0016787	3.6.1.27	Undecaprenyl-diphosphatase.
3472852	YP_001457640.1	157160322	57075	912417	912524	+	EcHS_A0903	EcHS_A0903	hypothetical protein (RefSeq)								
3472853	YP_001457641.1	157160323	57075	912509	913741	+	EcHS_A0904	mdfA	multidrug translocase MdfA (RefSeq)	COG2814	G	Arabinose efflux permease			GO:0006810,GO:0016020,GO:0016021,GO:0005215		
3472854	YP_001457642.1	157160324	57075	914060	913782	-	EcHS_A0905	EcHS_A0905	hypothetical protein (RefSeq)								
3472855	YP_001457643.1	157160325	57075	914967	914152	-	EcHS_A0906	ybjI	phosphatase YbjI (RefSeq)	COG561	R	Predicted hydrolases of the HAD superfamily	TIGR00099 Cof-like hydrolase,TIGR01484 HAD hydrolase, family IIB	Unknown function:Enzymes of unknown specificity	GO:0008152,GO:0016787	3.1.3.-	
3472856	YP_001457644.1	157160326	57075	916175	914967	-	EcHS_A0907	EcHS_A0907	transporter, major facilitator family (RefSeq)	COG738	G	Fucose permease			GO:0006810,GO:0016021,GO:0005215		
3472857	YP_001457645.1	157160327	57075	916259	916795	+	EcHS_A0908	EcHS_A0908	transcriptional regulator, TetR family (RefSeq)	COG3226	S	Uncharacterized protein conserved in bacteria			GO:0006355,GO:0016481,GO:0003700,GO:0016566		
3472858	YP_001457646.1	157160328	57075	918304	917273	-	EcHS_A0909	EcHS_A0909	site-specific recombinase, phage integrase family (RefSeq)	COG4974	L	Site-specific recombinase XerD			GO:0006310,GO:0015074,GO:0003677		
3472859	YP_001457647.1	157160329	57075	918417	918509	+	EcHS_A0910	EcHS_A0910	hypothetical protein (RefSeq)								
3472860	YP_001457648.1	157160330	57075	919269	918700	-	EcHS_A0911	EcHS_A0911	putative bacteriophage CI repressor protein (RefSeq)	COG2932	K	Predicted transcriptional regulator			GO:0016481,GO:0003677,GO:0016564		
3472861	YP_001457649.1	157160331	57075	919395	919616	+	EcHS_A0912	EcHS_A0912	hypothetical protein (RefSeq)								
3472862	YP_001457650.1	157160332	57075	919649	920158	+	EcHS_A0913	EcHS_A0913	phage regulatory protein CII (CP76) (RefSeq)								
3472863	YP_001457651.1	157160333	57075	920330	920671	+	EcHS_A0914	EcHS_A0914	hypothetical protein (RefSeq)								
3472864	YP_001457652.1	157160334	57075	920739	920972	+	EcHS_A0915	EcHS_A0915	hypothetical protein (RefSeq)								
3472865	YP_001457653.1	157160335	57075	920972	921199	+	EcHS_A0916	EcHS_A0916	C4-type zinc finger protein, DksA/TraR family (RefSeq)	COG1734	T	DnaK suppressor protein	TIGR02419 phage/conjugal plasmid C-4 type zinc finger protein, TraR family	Mobile and extrachromosomal element functions:Prophage functions	GO:0008270		
3472866	YP_001457654.1	157160336	57075	921196	922053	+	EcHS_A0917	EcHS_A0917	retron EC67 DNA adenine methylase (RefSeq)	COG338	L	Site-specific DNA methylase	TIGR00571 DNA adenine methylase [dam]	DNA metabolism:DNA replication, recombination, and repair	GO:0006306,GO:0003676,GO:0003677,GO:0009007	2.1.1.72	Site-specific DNA-methyltransferase (adenine-specific).
